"","**Group**","**I_CLOSTRIDIUMD_COV**","**counts**","**persontime**","**IR**","**lb**","**ub**"
"1","2019/2020 before COVID-19 infection","Total (all ages/gender)","1.0","5624920","6.49","0.16","36.18"
"2",NA,"Gender specific",NA,NA,NA,NA,NA
"3",NA,"F","1","2893524","12.62","0.32","70.33"
"4",NA,"M","0","2731396","0.00","0.00","49.33"
"5",NA,"Age specific (years)",NA,NA,NA,NA,NA
"6",NA,"0-4","0","185601","0.00","0.00","725.95"
"7",NA,"5-11","0","359019","0.00","0.00","375.29"
"8",NA,"12-17","0","307015","0.00","0.00","438.86"
"9",NA,"18-24","0","329043","0.00","0.00","409.48"
"10",NA,"25-29","0","274254","0.00","0.00","491.28"
"11",NA,"30-39","0","573161","0.00","0.00","235.08"
"12",NA,"40-49","0","863774","0.00","0.00","155.99"
"13",NA,"50-59","0","913216","0.00","0.00","147.54"
"14",NA,"60-69","0","704920","0.00","0.00","191.14"
"15",NA,"70-79","0","585536","0.00","0.00","230.11"
"16",NA,"80+","1","529381","69.00","1.75","384.42"
"17","2019/2020 after COVID-19 infection before vaccination","Total (all ages/gender)","0.00","6191","0.00","0.00","21763.26"
"18",NA,"Gender specific",NA,NA,NA,NA,NA
"19",NA,"F","0","4013","0.00","0.00","33574.96"
"20",NA,"M","0","2178","0.00","0.00","61862.41"
"21",NA,"Age specific (years)",NA,NA,NA,NA,NA
"22",NA,"0-4","0","20","0.00","0.00","6736816.10"
"23",NA,"5-11","0","198","0.00","0.00","680486.48"
"24",NA,"12-17","0","470","0.00","0.00","286673.03"
"25",NA,"18-24","0","476","0.00","0.00","283059.50"
"26",NA,"25-29","0","658","0.00","0.00","204766.45"
"27",NA,"30-39","0","778","0.00","0.00","173182.93"
"28",NA,"40-49","0","1131","0.00","0.00","119130.26"
"29",NA,"50-59","0","971","0.00","0.00","138760.37"
"30",NA,"60-69","0","622","0.00","0.00","216617.88"
"31",NA,"70-79","0","186","0.00","0.00","724388.83"
"32",NA,"80+","0","681","0.00","0.00","197850.69"
